"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Control_1_S1_R1_001.sorted.bam","Control_2_S2_R1_001.sorted.bam","Control_3_S3_R1_001.sorted.bam","Taf_1_S4_R1_001.sorted.bam","Taf_2_S5_R1_001.sorted.bam","Taf_3_S6_R1_001.sorted.bam"
"1","NM_001298862.1",693.170519440988,0.141842342973169,0.234703964591294,0.604345747717419,0.545613797076534,0.999972712909591,634.110899944316,813.55742446456,734.201013980177,537.186001710249,782.948293381195,657.019483165433
"2","NM_001298863.1",220.506491424826,-0.0621186833352137,0.217361856108231,-0.285784656275124,0.775043060751717,0.999972712909591,230.778257408783,209.950303087628,205.901391374515,198.153169748511,241.917883344831,236.337943584688
"3","NM_135493.3",0.238536127388786,-1.0643977467929,4.04930226136241,-0.262859544210655,0.792658839076531,0.999972712909591,0,0,0,0.658316178566482,0.772900585766234,0
"4","NM_135494.2",1.25630318384458,-2.19830153976151,2.73923611767611,-0.802523566908313,0.422250161586306,0.999972712909591,0,0,1.3546144169376,0,6.18320468612987,0
"5","NM_135495.3",0.709171667567943,0.781148281117057,3.08250855817129,0.253413175138263,0.799948947577675,0.999972712909591,0,0,2.70922883387519,0,1.54580117153247,0
"6","NM_001298864.1",0.109719363094414,-0.281171445618475,4.0804728567969,-0.0689065839882071,0.945063977713966,0.999972712909591,0,0,0,0.658316178566482,0,0
"7","NM_057693.5",653.913639380822,0.0506563924344985,0.379352924039186,0.13353368123575,0.893771329004195,0.999972712909591,483.787447870705,661.619705124829,850.697853836811,339.691148140305,803.043708611117,784.641972701165
"8","NM_135497.3",14.4913820561261,0.00713538308079448,0.744966220618729,0.00957812969676425,0.992357875042578,0.999972712909591,29.6412440708528,8.28751196398533,5.41845766775039,20.4078015355609,14.6851111295584,8.50816596904878
"9","NM_001103666.3",10.3023411220888,-0.0206386178580771,0.752263430456027,-0.027435359772262,0.978112495835704,0.999972712909591,12.7033903160798,15.1937719339731,2.70922883387519,7.2414779642313,15.4580117153247,8.50816596904878
"10","NM_001042886.3",2.97409211949718,-0.0233281446409658,1.14385452965012,-0.0203943281564846,0.983728808386194,0.999972712909591,2.11723171934663,4.14375598199266,2.70922883387519,3.29158089283241,4.6374035145974,0.945351774338753
