"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Control_1_S1_R1_001.sorted.bam","Control_2_S2_R1_001.sorted.bam","Control_3_S3_R1_001.sorted.bam","Taf_1_S4_R1_001.sorted.bam","Taf_2_S5_R1_001.sorted.bam","Taf_3_S6_R1_001.sorted.bam"
"1","NM_001298862.1",1175.83848624914,0.07209292585187,0.206964183527852,0.348335275326362,0.727588404837603,0.99941554011446,1114.722500236,1288.70811039972,1212.37990315915,978.257841349792,1346.39282040478,1114.56974194539
"2","NM_001298863.1",423.334118927262,-0.0982159548669436,0.190499887841822,-0.515569620431984,0.606155032881547,0.99941554011446,418.15326457096,390.894314301308,417.22124041678,402.23118510412,448.282339744416,463.222369425989
"3","NM_135493.3",0.348255490483199,-1.60889804674492,4.00512440277392,-0.401709880879257,0.68789755183541,0.99941554011446,0,0,0,1.31663235713296,0.772900585766234,0
"4","NM_135494.2",2.00177890668833,-1.80112949119887,2.37524932876148,-0.758290706322617,0.448276969732078,0.99941554011446,0,1.38125199399755,1.3546144169376,0,9.27480702919481,0
"5","NM_135495.3",4.66946970240008,1.61020780140679,1.33250707101603,1.20840469550305,0.226891634566392,0.99941554011446,16.9378537547731,0,4.06384325081279,2.63326471426593,1.54580117153247,2.83605532301626
"6","NM_001298864.1",0.109719363094414,-0.281171445618475,4.0804728567969,-0.0689065839882071,0.945063977713966,0.99941554011446,0,0,0,0.658316178566482,0,0
"7","NM_057693.5",1740.27213518111,0.168220195580683,0.382267340440473,0.440059031427714,0.659894353198191,0.99941554011446,1358.20414796086,1882.64646781867,2283.87990695679,782.07962013698,2182.67125420384,1952.15141400952
"8","NM_135497.3",62.3942723934404,0.476400591263921,0.465245798055547,1.02397612886563,0.305846550076808,0.99941554011446,116.447744564065,49.725071783912,51.4753478436287,71.7564634637465,47.1469357317403,37.8140709735501
"9","NM_001103666.3",10.3023411220888,-0.0216799035077018,0.809911237148782,-0.0267682463377393,0.978644579889739,0.99941554011446,12.7033903160798,15.1937719339731,2.70922883387519,7.2414779642313,15.4580117153247,8.50816596904878
"10","NM_001042886.3",2.97409211949718,-0.0170051279206568,1.25042960313309,-0.0135994284508689,0.989149560459109,0.99941554011446,2.11723171934663,4.14375598199266,2.70922883387519,3.29158089283241,4.6374035145974,0.945351774338753
"11","NM_134718.6",10.6003147416323,-0.375516642756022,0.880142142837012,-0.426654541896605,0.669630965117162,0.99941554011446,3.17584757901995,20.7187799099633,4.06384325081279,11.8496912141967,16.2309123010909,7.56281419471002
"12","NM_164890.2",0.839808725208336,-1.55222588086542,2.36738144236354,-0.655672065806054,0.512035145958067,0.99941554011446,1.05861585967332,0,0,1.31663235713296,0.772900585766234,1.89070354867751
"13","NM_135506.2",0.257633528588745,-1.16151082520006,4.04019932925678,-0.287488495131682,0.773738309867471,0.99941554011446,0,0,0,0,1.54580117153247,0
"14","NM_001347812.1",1069.76029300541,0.281147866625211,0.324332061774161,0.866851908156338,0.386023156586682,0.99941554011446,935.816419951211,1064.94528737211,1519.87737580398,608.942465173996,1015.59136969683,1273.3888400343
"15","NM_135507.3",152.84840825639,0.170574789053557,0.238783694115677,0.714348564232041,0.47501166915218,0.99941554011446,173.613000986424,143.650207375746,167.972187700262,134.954816606129,152.261415395948,144.638821473829
"16","NM_078807.3",1270.16509725811,-0.0932616904566633,0.337951117154095,-0.275962071799097,0.782577197754719,0.99941554011446,780.199888579234,1500.03966548134,1407.44437919816,846.594605636495,1562.80498441932,1523.90706023407
"17","NM_001103667.3",308.427741220432,-0.0107491370755157,0.225827118376422,-0.0475989648754157,0.962035857005972,0.99941554011446,293.236593129508,272.106642817518,356.263591654588,292.950699462084,289.064819076571,346.944101182322
"18","NM_135509.3",360.028971772573,-0.16254756307062,0.195935353722572,-0.829597925960694,0.406766149810961,0.99941554011446,331.346764077748,342.550494511393,345.426676319087,391.698126247057,345.486561837506,403.665207642647
"19","NM_135510.3",47.8366629365044,0.0666737435259028,0.36473622919187,0.182799892606306,0.854955032879298,0.99941554011446,48.6963295449725,48.3438197899144,50.1207334266911,58.5901398924169,42.5095322171429,38.7594227478889
"20","NM_135511.4",136.813854315308,-0.13125625798194,0.310332728249806,-0.422953320850786,0.672329318603454,0.99941554011446,173.613000986424,113.262663507799,104.305310104195,166.55399317732,121.345391965299,141.802766150813
"21","NM_135512.4",261.405743492792,-0.119099641987634,0.217795474308448,-0.54684167504308,0.584487508811598,0.99941554011446,259.360885619962,263.819130853533,228.929836462454,286.367537676419,289.837719662338,240.119350682043
"22","NM_135513.5",1218.15599265931,0.376151867683224,0.235750416731407,1.59555123124884,0.110589023232626,0.99941554011446,1758.36094291738,1118.81411513802,1250.3091068334,1109.26276088452,1080.51501890119,991.674011281352
"23","NM_078808.4",1003.14843573052,0.157356164215907,0.243603923328471,0.645950861816501,0.518311178844499,0.99941554011446,901.940712441665,1106.38284719204,1164.96839856633,716.248002280332,1065.82990777164,1063.5207461311
"24","NM_164892.2",265.798653428636,0.376179741540184,0.237561944414249,1.58350169454844,0.113307160739277,0.99941554011446,265.712580778002,367.413030403349,268.213654553644,232.385611033968,242.690783930597,218.376259872252
"25","NM_164893.2",525.446044856403,0.369736981410119,0.211172978862218,1.75087259460103,0.0799678584064617,0.99941554011446,526.132082257638,598.082113400941,652.924148963922,395.648023318455,480.744164346597,499.145736850862
"26","NM_164894.2",596.25071061981,0.252117543456372,0.253214715473722,0.995667029006206,0.319411955022735,0.99941554011446,810.89974850976,537.307025665049,596.030343452543,645.808171173719,472.242257903169,515.21671701462
"27","NM_164895.3",1106.72938598945,0.0520375557123228,0.280752987446187,0.185349962562008,0.852954552405706,0.99941554011446,915.702718617418,1204.45173876587,1259.79140775196,734.680855280194,1246.68864484094,1279.06095068033
"28","NM_164897.3",8.13821516904008,0.141746027318013,1.3924767704498,0.101794177343602,0.918920047449969,0.99941554011446,20.113701333793,2.76250398799511,2.70922883387519,20.4078015355609,0,2.83605532301626
"29","NM_134646.4",326.747000514195,-0.0170156284297292,0.198891404000472,-0.0855523571530964,0.931822273015804,0.99941554011446,295.353824848855,337.025486535403,342.717447485212,341.666096676004,322.29954426452,321.419603275176
"30","NM_078809.4",467.894288050662,0.193139550158466,0.181180346851356,1.06600717746126,0.28642039736975,0.99941554011446,472.142673414299,512.444489773093,513.398864019349,444.363420532375,440.553333886753,424.4629466781
"31","NM_164899.3",441.520903493358,-0.00690616984629497,0.201766560379435,-0.0342285155345241,0.972694927750619,0.99941554011446,421.32911214998,451.6694020372,448.377372006345,389.723177711357,494.65637489039,443.369982164875
"32","NM_164900.3",527.819664374455,0.370596237653016,0.180711253507612,2.05076457862877,0.040289878590678,0.99941554011446,604.469655873463,564.932065545,616.349559706607,482.545758889231,438.234632129455,460.386314102973
