"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"NM_001298862.1"	441.807156983835	-0.0178418069086563	0.234285464935995	-0.0761541349290726	0.939296471697321	0.999864611411096
"NM_001298863.1"	331.373770581075	0.156167490485467	0.281872399647958	0.554036119465797	0.579554126724664	0.999864611411096
"NM_135493.3"	0.109719363094414	-0.281171445618475	4.0804728567969	-0.0689065839882071	0.945063977713966	0.999864611411096
"NM_135494.2"	0.257633528588745	-1.16151082520006	4.04019932925678	-0.287488495131682	0.773738309867471	0.999864611411096
"NM_135495.3"	4.06037293436443	1.61519158374342	1.4352742693241	1.1253539607479	0.260439072104635	0.999864611411096
"NM_001298864.1"	0.128816764294372	-0.281171445618475	4.0804728567969	-0.0689065839882071	0.945063977713966	0.999864611411096
"NM_057693.5"	872.133503686536	0.190340699780209	0.407970375660572	0.46655519894555	0.640818146483974	0.999864611411096
"NM_135497.3"	88.731280698976	0.45028196322473	0.307235771826335	1.4655909386725	0.14275976132561	0.999864611411096
"NM_164890.2"	0.109719363094414	-0.281171445618475	4.0804728567969	-0.0689065839882071	0.945063977713966	0.999864611411096
"NM_001103666.3"	0.524911520739617	-2.18223889532093	3.14078724959582	-0.69480634054464	0.487176674101103	0.999864611411096
"NM_134646.4"	245.96846653574	0.112077490305921	0.283895256276229	0.39478465324151	0.693001821846757	0.999864611411096
"NM_164891.2"	55.1147110144222	0.0170425053304141	0.520416205303877	0.0327478375129821	0.973875675510577	0.999864611411096
"NM_001347812.1"	442.686549548762	0.570189243711216	0.270427174312242	2.10847613654707	0.0349898247989001	0.999864611411096
"NM_135507.3"	102.143489100946	0.0164508120658626	0.328835059219026	0.0500275490847382	0.960100434808072	0.999864611411096
"NM_078807.3"	968.284461461962	-0.111319655127326	0.316163607839284	-0.352095093701973	0.724766947762717	0.999864611411096
"NM_001103667.3"	229.111018872826	0.0456850295037219	0.303603218698854	0.150476103973842	0.880389002332088	0.999864611411096
