"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Control_1_S1_R1_001.sorted.bam","Control_2_S2_R1_001.sorted.bam","Control_3_S3_R1_001.sorted.bam","Taf_1_S4_R1_001.sorted.bam","Taf_2_S5_R1_001.sorted.bam","Taf_3_S6_R1_001.sorted.bam"
"1","1",441.807156983835,-0.0178418069086574,0.234285464935999,-0.0761541349290762,0.939296471697318,0.999864611411096,0,0,0,0,0,0
"2","2",331.373770581075,0.156167490485464,0.28187239964796,0.554036119465784,0.579554126724673,0.999864611411096,0,0,0,0,0,0
"3","3",0.109719363094414,-0.281171445618475,4.0804728567969,-0.0689065839882071,0.945063977713966,0.999864611411096,459.439283098219,435.09437810923,422.63969808453,418.689089568282,513.205988948779,401.77450409397
"4","4",0.257633528588745,-1.16151082520006,4.04019932925678,-0.287488495131682,0.773738309867471,0.999864611411096,266.771196637676,400.563078259291,380.646651159465,254.768361105228,313.024737235325,372.468599089469
"5","5",4.06037293436443,1.61519158374342,1.4352742693241,1.1253539607479,0.260439072104635,0.999864611411096,0,0,0,0.658316178566482,0,0
"6","6",0.128816764294372,-0.281171445618475,4.0804728567969,-0.0689065839882071,0.945063977713966,0.999864611411096,0,0,0,0,1.54580117153247,0
"7","7",872.133503686536,0.190340699780209,0.407970375660572,0.46655519894555,0.640818146483974,0.999864611411096,16.9378537547731,0,1.3546144169376,2.63326471426593,1.54580117153247,1.89070354867751
"8","8",88.731280698976,0.450281963224731,0.307235771826336,1.46559093867251,0.142759761325609,0.999864611411096,0,0,0,0,0.772900585766234,0
"9","9",0.109719363094414,-0.281171445618475,4.0804728567969,-0.0689065839882071,0.945063977713966,0.999864611411096,0,0,0,0,0,0
"10","10",0.524911520739617,-2.18223889532093,3.14078724959582,-0.694806340544639,0.487176674101103,0.999864611411096,659.517680576476,968.257647792286,1160.90455531552,331.791353997507,1188.72110090847,923.608683528962
"11","11",245.96846653574,0.112077490305921,0.283895256276228,0.394784653241513,0.693001821846754,0.999864611411096,103.744354247985,104.975151543814,98.8868524364446,78.9979414279778,79.6087603339221,66.1746242037127
"12","12",55.1147110144222,0.0170425053304127,0.520416205303876,0.0327478375129795,0.973875675510579,0.999864611411096,0,0,0,0,0,0
"13","13",442.686549548762,0.570189243711217,0.270427174312242,2.10847613654707,0.0349898247988997,0.999864611411096,0,0,0,0,0,0
"14","14",102.143489100946,0.0164508120658618,0.328835059219027,0.0500275490847356,0.960100434808074,0.999864611411096,0,0,0,0,0,0
"15","15",968.284461461962,-0.111319655127325,0.316163607839282,-0.352095093701971,0.724766947762718,0.999864611411096,0,0,0,0.658316178566482,0,0
"16","16",229.111018872826,0.0456850295037194,0.303603218698853,0.150476103973835,0.880389002332094,0.999864611411096,0,0,0,0,0,0
"17","17",141.548831424944,-0.0835704794076973,0.291595768383472,-0.286597023924556,0.774420893449274,0.999864611411096,0,0,0,0.658316178566482,1.54580117153247,0.945351774338753
"18","18",40.6650088778078,0.194878128940771,0.416898901259076,0.467446971801125,0.640180123014605,0.999864611411096,188.43362302185,284.537910763496,293.951328475459,206.052963891309,241.917883344831,260.917089717496
"19","19",122.301311406785,-0.107763036058684,0.335343009034143,-0.321351670246724,0.747943903861636,0.999864611411096,24.3481647724863,59.3938357418948,82.6314794331934,34.232441285457,44.0553333886753,86.0270114648265
"20","20",91.6495983363795,-0.0883721945328253,0.308875016408177,-0.286109882115043,0.774793962960297,0.999864611411096,688.100308787655,433.713126115232,464.632745009596,337.057883426039,394.179298740779,338.435935213274
"21","21",729.716509524249,0.548799910042696,0.276263501713302,1.98650891862011,0.0469768435269067,0.999864611411096,110.096049406025,71.8251036878728,125.979140775196,94.1392135350069,105.887380249974,104.934046951602
"22","22",846.961589334127,0.197275805452865,0.286697259172902,0.688097981899058,0.491391081259043,0.999864611411096,619.29027790889,1109.14535118004,1064.72693171295,687.282090423407,1165.53408333548,1163.728034211
"23","23",295.612782453458,0.307148140777443,0.252422524138727,1.21680163775179,0.223679696766293,0.999864611411096,210.66455607499,191.99402716566,295.305942892396,208.027912427008,183.177438826597,285.496235850303
"24","24",381.612066440774,0.4076921329772,0.243853127108489,1.67187576313434,0.0945488229880169,0.999864611411096,157.733763091324,113.262663507799,140.87989936151,153.38766960599,125.20989489413,158.81909808891
"25","25",255.316511143351,0.343844029213493,0.273548967072419,1.25697432855765,0.208762931538625,0.999864611411096,35.9929392288927,56.6313317538997,37.9292036742527,42.1322354282548,36.326327531013,34.9780156505339
"26","26",844.260748813837,-0.000287825585043191,0.297830675629834,-0.000966406782761765,0.999228919068603,0.999864611411096,159.850994810671,92.5438835978361,100.241466853382,148.779456356025,106.66028083574,125.731785987054
"27","27",1.19839404788057,0.765909627587444,2.41407464504988,0.317268411379889,0.751039944196996,0.999864611411096,100.568506668965,88.4001276158435,77.213021765443,94.7975297135734,89.6564679488831,99.2619363055691
"28","28",212.350801678275,0.102680591839369,0.257559074739856,0.398668118927977,0.69013776190496,0.999864611411096,1147.53959188587,716.869784884731,735.555628397115,556.935487067243,694.837626603844,526.560938306685
"29","29",203.019671134481,0.221157028996791,0.259245465692994,0.85307964174267,0.393615140267098,0.999864611411096,739.972485911648,942.013859906332,1032.21618570645,537.186001710249,922.843299404883,907.537703365203
"30","30",331.385338852069,0.415049866199053,0.252630812064617,1.64291070755413,0.100401409294025,0.999864611411096,309.115831024608,372.93803837934,299.369786143209,302.825442140582,242.690783930597,246.736813102415
