NM_001014455.2 + 0.31099 74.5611
NM_001014469.2 + 2.87109 9.24188
NM_001014488.2 + 5.0303 0.0942232
NM_001014502.2 + 2.09732 27.6658
NM_001014511.2 + 0.220488 5.02143
NM_001014539.3 + 0.173653 1.38379
NM_001014558.3 + 5.97561 0.758653
NM_001014566.1 + 0.655813 16.3364
NM_001014580.3 + 1.72634 0.298163
NM_001014592.2 + 5.59405 4.12823
NM_001014593.3 + 0.997569 4.97751
NM_001014607.2 + 3.4253 3.50978
NM_001014614.2 + 1.0505 4.92677
NM_001014628.3 + 0.547242 19.2069
NM_001014730.2 + 83 0.0286337
NM_001015101.2 + 0.0573684 0.515017
NM_001015152.4 + 0.266274 30.7267
NM_001015241.4 + 0.581213 2.43496
NM_001015254.3 + 2.9764 1.94628
NM_001015349.4 + 0.616902 8.12399
NM_001015360.3 + 1.10333 25.4879
NM_001015402.3 + 1.16814 1.66768
NM_001031858.2 + 0.014158 2.13023
NM_001031861.2 + 12.5556 5.88677
NM_001031900.3 + 2.44641 1.8738
NM_001031907.2 + 2.24866 2.71862
NM_001031908.2 + 2.24866 3.08199
NM_001031910.1 + 0.000744602 0.53417
NM_001031911.1 + 0.000744602 2.16466
NM_001031918.2 + 0.19176 6.69231
NM_001031927.2 + 0.0810811 3.0152
NM_001031943.3 + 7.6234 3.06936
NM_001031945.2 + 0.0298651 0.0498954
NM_001031947.3 + 0.234548 1.3137
NM_001031955.2 + 2.3428 7.21264
NM_001031956.2 + 2.3428 2.91907
NM_001031962.1 + 1 0.0117117
NM_001031965.1 + 2.45946 1.04806
NM_001031982.1 + 3.41237 2.58526
NM_001031983.3 + 3.94865 11.5313
NM_001031990.4 + 2.02591 65.2047
NM_001031996.1 + 0.25 0.4493
NM_001032048.2 + 19.6774 3.09527
NM_001032049.2 + 0.489434 3.0149
NM_001032060.2 + 0.73592 4.51972
NM_001032076.2 + 0.678327 0.85768
NM_001032077.2 + 5.48461 6.40142
NM_001032085.2 + 2 0.0031185
NM_001032096.2 + 6.36842 1.00516
NM_001032111.2 + 0.0735294 0.582687
NM_001032119.2 + 3 0.457627
NM_001032124.2 + 0.00104822 2.2239
NM_001032128.2 + 0.00103842 1.55477
NM_001032137.2 + 0.375 0.215514
NM_001032138.2 + 0.00191571 0.017186
NM_001032142.2 + 0.375 0.0749498
NM_001032147.2 + 0.375 0.757126
NM_001032152.2 + 0.375 21.9005
NM_001032157.2 + 0.375 0.184974
NM_001032163.2 + 1.77027 0.162902
NM_001032228.1 + 1.97222 7.2044
NM_001032230.3 + 7 2.06003
NM_001032238.1 + 10 0.62279
NM_001032245.2 + 0.828326 1.49041
NM_001032247.2 + 6.68156 0.781642
NM_001032267.1 + 0.931034 0.00359293
NM_001032406.2 + 2.06606 92.4691
NM_001038709.3 + 0.956646 12.301
NM_001038748.1 + 0.5125 0.00160558
NM_001038753.2 + 8.74886 1.68259
NM_001038756.2 + 35.2323 32.225
NM_001038787.2 + 0.0311918 0.439871
NM_001038848.2 + 49 0.170443
NM_001038852.1 + 0.170944 1.30392
NM_001038853.3 + 36 0.570322
NM_001038860.2 + 6.615 4.68743
NM_001038864.2 + 45 1.00927
NM_001038877.3 + 29.2692 25.8242
NM_001038884.2 + 7.927 3.09026
NM_001038890.2 + 5.70202 1.89959
NM_001038892.2 + 4.91892 1.20234
NM_001038923.3 + 2.32956 1.08623
NM_001038982.2 + 0.00107066 1.0039
NM_001038984.3 + 1.37071 4.57729
NM_001038987.2 + 10.1362 4.98952
NM_001042788.4 + 0.333333 0.354209
NM_001042802.2 + 0.516862 20.7311
NM_001042817.3 + 14.7423 16.8123
NM_001042859.2 + 2.41335 0.627937
NM_001042868.2 + 0.576923 0.204141
NM_001042869.3 + 3.72248 0.235942
NM_001042879.2 + 2.44811 0.4
NM_001042906.2 + 129.492 14.7321
NM_001042915.2 + 0.352941 0.108434
NM_001042930.2 + 1.27762 28.2137
NM_001042931.3 + 3.02203 38.3092
NM_001042934.2 + 0.124547 1.5998
NM_001042950.3 + 0.105798 5.69679
NM_001042956.2 + 0.351612 13.1084
NM_001042963.2 + 0.638962 11.7309
NM_001042979.2 + 2.08488 18.8056
NM_001042981.3 + 2.85086 1.27302
NM_001042990.3 + 0.528511 6.68232
NM_001043001.3 + 13.3194 16.9082
NM_001043074.2 + 4.85021 4.24433
NM_001043087.2 + 14.9714 1.66526
NM_001043094.2 + 3.93014e-06 0.348667
NM_001043104.3 + 6.30021 72.1984
NM_001043138.2 + 0.00518135 0.570296
NM_001043141.3 + 0.112746 2.5579
NM_001043162.3 + 0.00119877 0.0122287
NM_001043166.2 + 2.5 0.00223214
NM_001043186.2 + 2.5177 7.4945
NM_001043241.3 + 6.44041 10.523
NM_001043245.2 + 0.545455 4.38683
NM_001043252.3 + 13.0381 0.19095
