NM_001014455.2 + 0.208666 12.1455
NM_001014482.3 + 0.363636 0.224485
NM_001014488.2 + 5.91111 0.331141
NM_001014496.3 + 0.0232558 0.220854
NM_001014502.2 + 0.815789 0.861298
NM_001014511.2 + 0.226184 2.76923
NM_001014539.3 + 0.155164 2.04653
NM_001014558.3 + 2.6 0.284678
NM_001014566.1 + 1.85567 13.0144
NM_001014592.2 + 3.31947 14.8849
NM_001014607.2 + 0.833333 3.1913
NM_001014614.2 + 0.285499 1.1017
NM_001014628.3 + 0.314888 16.1514
NM_001014669.3 + 1.43258 13.9007
NM_001015101.2 + 0.234686 0.785238
NM_001015152.4 + 0.0785188 2.29752
NM_001015241.4 + 0.585093 0.0750646
NM_001015254.3 + 9.22222 0.900133
NM_001015349.4 + 0.295119 1.43213
NM_001015401.3 + 0.42218 1.6126
NM_001015402.3 + 0.455882 0.230506
NM_001031858.2 + 0.00877193 0.0326264
NM_001031861.2 + 2.25 0.20935
NM_001031880.3 + 0.0650232 5.582
NM_001031900.3 + 2.65487 5.43468
NM_001031918.2 + 0.194222 7.39171
NM_001031927.2 + 1 1.52038
NM_001031943.3 + 7.69008 1.6911
NM_001031945.2 + 0.024049 0.33698
NM_001031947.3 + 0.302049 1.25075
NM_001031955.2 + 0.876543 0.183364
NM_001031956.2 + 0.876543 0.170518
NM_001031960.1 + 1 0.0289776
NM_001031965.1 + 0.72 0.177489
NM_001031982.1 + 4.38323 2.98735
NM_001031983.3 + 4.38129 3.89929
NM_001031990.4 + 2.55156 70.8339
NM_001032048.2 + 41.948 28.697
NM_001032049.2 + 0.158288 1.39456
NM_001032060.2 + 0.484848 1.83822
NM_001032076.2 + 0.9 0.689157
NM_001032079.2 + 2.58658 6.6005
NM_001032084.2 + 6 2.3667
NM_001032085.2 + 0.666667 0.933266
NM_001032087.1 + 9 0.542593
NM_001032124.2 + 0.255814 0.0666777
NM_001032128.2 + 0.15625 0.0301772
NM_001032133.2 + 0.0612245 0.0823303
NM_001032137.2 + 0.450549 3.56247
NM_001032138.2 + 0.166667 2.05867
NM_001032142.2 + 0.450549 0.0325581
NM_001032143.2 + 0.0106383 0.00010553
NM_001032147.2 + 0.450549 0.185804
NM_001032148.2 + 0.0277778 0.0207749
NM_001032152.2 + 0.450549 0.291823
NM_001032157.2 + 0.450549 0.206279
NM_001032158.2 + 0.037037 1.0948
NM_001032163.2 + 0.25 0.448647
NM_001032228.1 + 4.8 0.302797
NM_001032230.3 + 5.34043 4.65065
NM_001032238.1 + 1 0.137421
NM_001032245.2 + 0.670236 0.601685
NM_001032247.2 + 2.62963 0.367513
NM_001032267.1 + 0.318182 0.277426
NM_001032406.2 + 2.80056 875.761
NM_001038709.3 + 0.919045 6.7696
NM_001038742.3 + 1 0.00151745
NM_001038748.1 + 0.0909091 1.86605
NM_001038753.2 + 3.76963 1.6806
NM_001038756.2 + 55.0968 0.762494
NM_001038787.2 + 0.0140433 0.633621
NM_001038852.1 + 0.171504 3.1371
NM_001038860.2 + 12.907 0.707487
NM_001038864.2 + 4.375 5.38806
NM_001038872.2 + 2 0.772512
NM_001038877.3 + 1.22118 1.31478
NM_001038884.2 + 3.48571 22.9581
NM_001038890.2 + 3.51103 0.848708
NM_001038892.2 + 1.41727 0.564994
NM_001038921.2 + 4.71687 2.44024
NM_001038923.3 + 1.55236 0.143029
NM_001038982.2 + 0.000423549 1.96571
NM_001038984.3 + 1.9 0.307018
NM_001038987.2 + 3.78835 1.3284
NM_001042802.2 + 0.36247 24.1293
NM_001042859.2 + 1.77729 4.96573
NM_001042868.2 + 4.3 0.155608
NM_001042869.3 + 2.77966 0.328593
NM_001042879.2 + 1.93421 0.0896929
NM_001042906.2 + 153.888 7.07079
NM_001042930.2 + 0.297815 1.62778
NM_001042931.3 + 3.33052 3.10456
NM_001042934.2 + 0.0893293 0.41166
NM_001042945.3 + 0.351589 0.412974
NM_001042950.3 + 0.125845 0.176397
NM_001042956.2 + 0.188153 0.858548
NM_001042965.2 + 0.282539 1.56552
NM_001042979.2 + 1.83072 14.7983
NM_001042981.3 + 0.673123 1.38856
NM_001042990.3 + 0.842455 1.01391
NM_001043001.3 + 8.60615 1.09732
NM_001043072.2 + 0.142857 0.000290444
NM_001043074.2 + 1.95099 3.5791
NM_001043087.2 + 17.7927 0.50103
NM_001043104.3 + 3.25023 19.2767
NM_001043132.3 + 0.943396 2.17615
NM_001043138.2 + 0.0333333 0.00125865
NM_001043141.3 + 0.00803772 7.15634
NM_001043162.3 + 0.00163879 0.642956
NM_001043186.2 + 2.2019 3.46371
NM_001043241.3 + 16.3671 18.8801
NM_001043245.2 + 1.5 0.0210643
NM_001043246.4 + 0.333333 0.430747
NM_001043252.3 + 76 0.0950673
NM_001043254.2 + 0.571429 0.415167
NM_001043264.4 + 1 0.00180832
NM_001043279.1 + 3.04829 8.04447
NM_001043280.3 + 0.625 0.0271976
NM_001043291.2 + 7.44366 0.175249
NM_001043309.3 + 10.8996 6.98852
NM_001103388.4 + 0.863813 0.248208
NM_001103409.2 + 2.01178 0.446635
NM_001103422.2 + 0.12548 5.21119
NM_001103427.3 + 0.136776 49.1196
NM_001103447.4 + 1.47285 5.83995
NM_001103477.2 + 12.7452 9.6393
NM_001103484.3 + 2.01483 0.123496
NM_001103487.3 + 1.52941 0.17206
NM_001103492.2 + 0.428571 0.359855
NM_001103503.2 + 8.61546 9.50738
NM_001103517.3 + 1.74641 0.279421
NM_001103544.2 + 0.550898 0.770739
NM_001103572.2 + 2.84945 1.47505
NM_001103587.3 + 1.57534 0.120258
NM_001103604.2 + 4.33592 28.3492
NM_001103626.3 + 1 0.000234393
NM_001103627.4 + 46.5789 2.22613
NM_001103640.2 + 1.65473 6.13554
