NM_001014455.2 + 0.240669 129.425
NM_001014469.2 + 1.53562 0.806756
NM_001014488.2 + 0.727749 3.00576
NM_001014496.3 + 0.0885246 1.5451
NM_001014502.2 + 1.35516 59.4976
NM_001014511.2 + 0.195188 0.548745
NM_001014527.2 + 0.0360137 3.77574
NM_001014539.3 + 0.177887 16.166
NM_001014555.2 + 0.333333 1.38104
NM_001014558.3 + 2.27559 3.5004
NM_001014566.1 + 0.568107 6.22202
NM_001014580.3 + 0.737514 0.905013
NM_001014592.2 + 3.11905 2.80276
NM_001014607.2 + 1.93881 11.3793
NM_001014614.2 + 0.748367 1.0625
NM_001014628.3 + 0.427835 52.1835
NM_001014699.3 + 0.3125 1.05294
NM_001014730.2 + 15 0.0109689
NM_001015101.2 + 0.0918895 16.5811
NM_001015152.4 + 0.0985395 3.09036
NM_001015254.3 + 1.94608 5.39227
NM_001015349.4 + 0.563593 3.42962
NM_001015360.3 + 0.682366 19.1793
NM_001015401.3 + 0.420075 5.28396
NM_001015402.3 + 0.568421 4.76278
NM_001031858.2 + 0.0152884 0.604323
NM_001031861.2 + 13.5 2.56921
NM_001031900.3 + 2.49642 3.09405
NM_001031907.2 + 1.62033 4.30971
NM_001031908.2 + 1.62033 0.721492
NM_001031910.1 + 0.000260315 0.287698
NM_001031911.1 + 0.000260315 7.3052
NM_001031918.2 + 0.150924 13.4345
NM_001031923.2 + 0.666667 0.000621022
NM_001031925.2 + 0.666667 5.60598
NM_001031927.2 + 0.395349 2.133
NM_001031943.3 + 3.98097 8.32876
NM_001031945.2 + 0.0237231 0.311987
NM_001031955.2 + 1.17584 4.87516
NM_001031962.1 + 1 3.67853
NM_001031965.1 + 8.13725 0.227226
NM_001031982.1 + 1.71102 4.28794
NM_001031983.3 + 1.64798 4.84701
NM_001031989.3 + 0.258429 4.05159
NM_001031990.4 + 1.23975 61.385
NM_001032048.2 + 7.0338 89.2447
NM_001032049.2 + 0.46901 2.50646
NM_001032059.2 + 0.825899 15.2906
NM_001032076.2 + 0.738642 0.911923
NM_001032077.2 + 2.68661 1.18782
NM_001032082.3 + 0.0569106 0.00250391
NM_001032086.2 + 3 0.000960615
NM_001032087.1 + 6 0.00161588
NM_001032088.1 + 0.4 0.00071736
NM_001032096.2 + 1.4569 0.463748
NM_001032111.2 + 0.0406977 0.0076428
NM_001032115.2 + 0.15 0.636322
NM_001032118.2 + 0.0022779 0.214117
NM_001032119.2 + 23 0.0745507
NM_001032124.2 + 0.0130597 1.16893
NM_001032128.2 + 0.0156617 0.824779
NM_001032133.2 + 0.0118577 0.0336449
NM_001032137.2 + 0.549296 0.744651
NM_001032138.2 + 0.0120192 1.06714
NM_001032142.2 + 0.506494 0.661589
NM_001032147.2 + 0.506494 0.00886561
NM_001032152.2 + 0.506494 0.659186
NM_001032157.2 + 0.506494 1.59138
NM_001032162.2 + 0.003125 6.46712
