NM_001014455.2 + 0.252549 59.0873
NM_001014469.2 + 3.39269 0.0980832
NM_001014474.4 + 0.00499376 0.0108959
NM_001014488.2 + 1.07483 1.60574
NM_001014502.2 + 0.835667 5.35791
NM_001014511.2 + 0.131569 3.05247
NM_001014539.3 + 0.10002 13.1584
NM_001014558.3 + 1.58442 0.793044
NM_001014566.1 + 1.27165 1.33058
NM_001014580.3 + 1.02865 0.24004
NM_001014592.2 + 3.70881 3.15036
NM_001014607.2 + 1.15894 2.06343
NM_001014614.2 + 1.22617 1.2622
NM_001014628.3 + 0.404908 13.7665
NM_001014669.3 + 1.43414 7.31713
NM_001015101.2 + 0.132865 1.05288
NM_001015152.4 + 0.104223 27.9297
NM_001015241.4 + 0.891219 1.72179
NM_001015254.3 + 5.47862 1.02814
NM_001015349.4 + 0.347505 7.1887
NM_001015401.3 + 0.550705 0.510526
NM_001015402.3 + 0.458824 0.353107
NM_001031858.2 + 0.00769231 44.3445
NM_001031861.2 + 2.8 1.18523
NM_001031880.3 + 0.0600201 0.348711
NM_001031900.3 + 3.90588 0.744509
NM_001031918.2 + 0.33161 1.78092
NM_001031927.2 + 1.2 0.375356
NM_001031943.3 + 7.21913 20.8839
NM_001031945.2 + 0.00879265 0.0984252
NM_001031947.3 + 0.406618 2.32067
NM_001031955.2 + 1.42391 0.252157
NM_001031956.2 + 1.42391 3.14705
NM_001031959.2 + 0.545455 1.25629
NM_001031960.1 + 0.5 7.63583
NM_001031961.2 + 0.5 0.116877
NM_001031962.1 + 10 0.0137337
NM_001031965.1 + 3.1165 1.78058
NM_001031982.1 + 5.66007 2.2055
NM_001031983.3 + 5.62334 5.103
NM_001031990.4 + 1.32966 112.981
NM_001032048.2 + 22.8815 19.6016
NM_001032049.2 + 0.132686 0.754161
NM_001032060.2 + 0.864558 0.343319
NM_001032076.2 + 0.987258 0.703591
NM_001032077.2 + 4.18152 1.79692
NM_001032085.2 + 1 0.0430953
NM_001032087.1 + 1 0.00257069
NM_001032124.2 + 0.107143 0.379518
NM_001032128.2 + 0.14 0.39759
