NM_001014455.2 + 0.213143 174.884
NM_001014488.2 + 0.852713 0.915114
NM_001014496.3 + 0.0301205 6.75657
NM_001014502.2 + 0.805295 22.8603
NM_001014511.2 + 0.205352 9.58861
NM_001014539.3 + 0.179566 5.59617
NM_001014558.3 + 1.84874 0.113915
NM_001014566.1 + 0.880614 8.83538
NM_001014580.3 + 0.814925 1.17606
NM_001014592.2 + 1.98271 1.06916
NM_001014607.2 + 1.3438 5.85753
NM_001014614.2 + 0.488006 0.482062
NM_001014628.3 + 0.35247 3.76399
NM_001015101.2 + 0.211886 3.3283
NM_001015152.4 + 0.0836121 13.7276
NM_001015254.3 + 2.06802 1.33705
NM_001015349.4 + 0.380356 6.22822
NM_001015360.3 + 0.935754 18.6955
NM_001015401.3 + 0.509704 4.21301
NM_001015402.3 + 0.15655 0.78398
NM_001031858.2 + 0.00214746 1.04122
NM_001031861.2 + 18.25 0.625431
NM_001031900.3 + 2.26865 1.4745
NM_001031907.2 + 2.28627 5.31598
NM_001031908.2 + 2.28627 2.51066
NM_001031910.1 + 0.00138122 1.58513
NM_001031911.1 + 0.00138122 0.135546
NM_001031918.2 + 0.295671 4.72492
NM_001031923.2 + 0.142857 1.71901
NM_001031925.2 + 0.142857 4.9
NM_001031927.2 + 0.633333 3.94187
NM_001031943.3 + 1.85584 4.38448
NM_001031945.2 + 0.020532 0.0248581
NM_001031947.3 + 0.325767 1.41793
NM_001031955.2 + 0.838683 0.739005
NM_001031959.2 + 0.2 0.00227531
NM_001031960.1 + 1 0.00804598
NM_001031961.2 + 0.5 0.000457696
NM_001031962.1 + 2 0.117551
NM_001031965.1 + 2.19697 11.1361
NM_001031982.1 + 3.58734 5.24224
NM_001031983.3 + 3.09207 12.0036
NM_001031990.4 + 1.24889 96.8298
NM_001031995.1 + 0.5 1.8414
NM_001031997.1 + 0.2 0.0752861
NM_001032040.3 + 2 2.95793
NM_001032048.2 + 15.602 83.6436
NM_001032049.2 + 0.235805 1.50807
NM_001032060.2 + 0.752855 2.62488
NM_001032076.2 + 1.56845 2.8712
NM_001032077.2 + 2.05003 2.00991
NM_001032082.3 + 0.08 1.38003
NM_001032084.2 + 3.5 2.69342
NM_001032085.2 + 9 0.403794
NM_001032086.2 + 1 1.23595
NM_001032087.1 + 1.25 4.90138
NM_001032089.2 + 0.166667 0.00135431
NM_001032097.2 + 0.166667 0.00436681
NM_001032101.2 + 0.166667 0.0293225
NM_001032111.2 + 0.0277778 0.00308642
NM_001032124.2 + 0.62963 0.421996
NM_001032128.2 + 0.111111 1.11702
NM_001032133.2 + 0.214286 0.0106906
NM_001032137.2 + 0.292308 2.91656
NM_001032138.2 + 0.0357143 0.625553
NM_001032142.2 + 0.287879 0.449354
NM_001032147.2 + 0.287879 0.367412
NM_001032152.2 + 0.287879 0.0253485
NM_001032157.2 + 0.287879 1.65071
NM_001032163.2 + 1.4717 0.022325
NM_001032203.2 + 0.00294985 0.454649
NM_001032228.1 + 1.9375 5.3733
NM_001032230.3 + 1.69792 2.01774
NM_001032238.1 + 1 0.00146645
NM_001032240.2 + 0.5 0.879174
NM_001032245.2 + 0.558252 1.22671
NM_001032247.2 + 2.64777 1.44768
NM_001032267.1 + 0.724638 20.5291
NM_001032399.3 + 0.133333 10.0548
NM_001032406.2 + 2.41337 87.4793
NM_001038709.3 + 0.685825 19.4024
NM_001038742.3 + 0.5 0.00960879
NM_001038748.1 + 0.113043 1.64822
NM_001038753.2 + 2.95108 4.85375
NM_001038756.2 + 16.0099 7.48963
NM_001038787.2 + 0.0285211 0.783431
NM_001038802.2 + 0.303663 12.4884
NM_001038840.2 + 5 0.00465839
NM_001038848.2 + 1.75 1.96632
NM_001038852.1 + 0.28271 1.08354
NM_001038860.2 + 15.9018 7.79857
NM_001038864.2 + 16.0769 1.44306
NM_001038884.2 + 2.69813 0.3349
NM_001038890.2 + 1.98561 9.95721
NM_001038892.2 + 0.504119 2
NM_001038921.2 + 3.75311 9.68268
NM_001038923.3 + 1.44774 0.68156
NM_001038940.2 + 0.333333 0.0104453
NM_001038982.2 + 0.000324851 7.77171
NM_001038984.3 + 1.36789 0.580527
NM_001038987.2 + 5.65394 6.10412
NM_001042802.2 + 0.359382 1.21196
NM_001042817.3 + 2.88479 12.6376
NM_001042859.2 + 2.00547 29.5297
NM_001042862.2 + 0.000167616 4.27805
NM_001042868.2 + 0.655914 2.77597
NM_001042869.3 + 1.94049 0.0781554
NM_001042879.2 + 2.16062 10.9889
NM_001042906.2 + 21.1777 83.0142
NM_001042930.2 + 0.390198 18.2154
NM_001042931.3 + 2.30306 7.17789
NM_001042934.2 + 0.197439 8.94107
NM_001042950.3 + 0.135917 1.76792
NM_001042956.2 + 0.312264 2.43599
NM_001042963.2 + 0.326451 5.27879
NM_001042979.2 + 1.34531 2.51404
NM_001042981.3 + 0.80147 10.8706
NM_001042990.3 + 0.471156 4.41474
NM_001043001.3 + 6.41682 22.3287
NM_001043072.2 + 0.444444 1.20636
NM_001043073.3 + 2.12121 2.3668
NM_001043074.2 + 1.25222 1.98598
NM_001043087.2 + 5.00113 1.69564
NM_001043094.2 + 1.03706e-06 0.0330481
NM_001043104.3 + 2.41279 12.7163
NM_001043138.2 + 0.0223464 0.647587
NM_001043141.3 + 0.0178536 24.9867
NM_001043162.3 + 0.00143054 0.800997
NM_001043186.2 + 1.28365 2.94971
NM_001043241.3 + 7.42028 61.6825
NM_001043245.2 + 0.518519 0.0236394
NM_001043246.4 + 0.0540541 0.00558659
NM_001043252.3 + 20.7647 2.27749
NM_001043253.1 + 0.7 2.43556
NM_001043279.1 + 3.37117 7.52841
NM_001043280.3 + 0.830374 0.281992
NM_001043291.2 + 7.74677 6.37532
NM_001043308.3 + 0.336849 0.824571
NM_001043309.3 + 5.28559 2.57047
NM_001103388.4 + 2.10406 0.85309
NM_001103396.2 + 1 0.355993
NM_001103401.1 + 0.333333 0.146113
NM_001103409.2 + 3.11288 3.71641
NM_001103421.2 + 1.1 0.548414
NM_001103422.2 + 0.333443 4.21953
NM_001103427.3 + 0.124427 2.57704
NM_001103440.2 + 0.109948 0.100903
NM_001103447.4 + 3.99333 2.08127
NM_001103477.2 + 7.85518 1.20896
NM_001103484.3 + 2.41678 0.761207
NM_001103487.3 + 0.555556 0.0200433
NM_001103492.2 + 0.547619 0.161705
NM_001103503.2 + 9.24673 13.0022
NM_001103511.3 + 0.00598802 0.0306834
NM_001103517.3 + 1.23605 0.0863198
NM_001103544.2 + 1.45831 0.898264
NM_001103562.3 + 293.64 0.198718
NM_001103572.2 + 1.82187 7.60344
NM_001103587.3 + 0.77439 0.407643
NM_001103604.2 + 2.25279 41.3639
NM_001103605.2 + 0.0215054 0.498074
NM_001103627.4 + 72.7119 41.3339
NM_001103640.2 + 2.07029 2.19319
NM_001103662.3 + 2 3.91961
NM_001103665.2 + 13.875 0.157985
NM_001103675.2 + 17.4444 3.09784
NM_001103676.3 + 2 1.58161
NM_001103682.3 + 1.04244 3.74936
NM_001103685.3 + 0.818182 0.43106
NM_001103688.2 + 47 1.63569
NM_001103689.2 + 2.35317 127.838
NM_001103699.2 + 0.0241697 0.363472
NM_001103703.2 + 64.5548 12.2863
NM_001103709.2 + 0.757419 16.6778
NM_001103723.2 + 4.43898 6.97579
NM_001103744.2 + 3.7415 1.34864
NM_001103745.3 + 8.31152 7.71134
NM_001103752.1 + 5.72727 15.4053
NM_001103753.2 + 0.714286 11.464
NM_001103804.2 + 3.20377 1.85805
NM_001103805.2 + 27.3052 23.6035
NM_001103806.2 + 2.16667 1.37494
NM_001103807.1 + 0.638246 7.23331
NM_001103810.3 + 0.236702 10.5905
NM_001103826.2 + 5.06399 5.26328
NM_001103840.2 + 7.4646 1.21736
NM_001103841.3 + 2 0.0164345
NM_001103842.2 + 0.25 0.00856468
NM_001103857.3 + 3.85714 0.0100794
NM_001103867.3 + 0.353846 3.25084
NM_001103890.3 + 0.0271647 4.19668
NM_001103922.2 + 0.444444 1.48358
NM_001103942.2 + 32.381 1.01858
NM_001103961.4 + 18.0078 12.4792
NM_001103965.3 + 57.1429 5.13943
NM_001103973.2 + 0.5 0.0336218
NM_001103995.2 + 2.58333 0.0149164
NM_001103996.3 + 0.5 1.84701
NM_001104023.2 + 0.46875 0.13154
NM_001104052.2 + 0.0769231 0.718521
NM_001104057.1 + 16.6655 9.56221
NM_001104079.4 + 0.0578376 1.81967
NM_001104083.3 + 1 1.76893
NM_001104089.2 + 3.40625 0.11595
NM_001104104.3 + 4.81135 11.5782
NM_001104107.2 + 20.8571 1.47544
NM_001104127.1 + 0.5 3.97658
NM_001104138.2 + 60 0.344369
NM_001104139.2 + 0.4 2.04587
NM_001104146.3 + 1.63526 0.43362
NM_001104163.2 + 18.7621 10.3548
NM_001104170.3 + 2.44541 0.323903
NM_001104177.3 + 2.01265 1.30773
NM_001104186.3 + 3.21333 0.699571
NM_001104229.3 + 0.333333 2.36854
NM_001104237.2 + 0.351844 35.3147
NM_001104261.2 + 0.323101 34.0783
NM_001104273.2 + 4.66667 37.5697
NM_001104278.2 + 1.27957 3.79215
NM_001104285.2 + 3.92434 15.8313
NM_001104292.2 + 1.4 5.1518
NM_001104294.3 + 0.898259 2.67623
NM_001104297.4 + 0.166667 0.00184758
NM_001104300.2 + 0.433962 4.19481
NM_001104323.3 + 2.80498 79.868
NM_001104328.2 + 2.21975 8.56956
NM_001104364.2 + 14.7512 19.7457
NM_001104365.2 + 0.0196078 0.964809
NM_001104367.2 + 7.54545 0.105263
NM_001104395.2 + 0.0458572 1.38421
NM_001104411.3 + 0.272434 25.111
NM_001104436.3 + 0.333333 0.00194553
NM_001104444.3 + 1 1.08333
NM_001104451.2 + 6.0003 38.447
NM_001104454.2 + 0.623553 10.9586
NM_001104484.2 + 11.8095 1.56464
NM_001104485.1 + 19.0367 1.0731
NM_001104487.2 + 1.92766 52.8062
NM_001104506.2 + 9.23404 3.8778
NM_001104507.3 + 0.40625 4.32514
NM_001104517.1 + 0.5 0.00139567
NM_001104521.2 + 1.57937 119.746
NM_001110546.2 + 1.47997 9.48725
NM_001110620.2 + 1 24.2572
NM_001110880.2 + 0.153244 0.971556
NM_001110883.3 + 0.375761 0.440586
NM_001110960.2 + 0.785373 11.2276
NM_001110989.3 + 0.888246 2.07344
NM_001111009.4 + 0.521797 5.14596
NM_001111011.3 + 0.291298 2.129
NM_001144199.1 + 0.110375 1.38953
NM_001144206.2 + 4.17484 1.33342
NM_001144220.3 + 1.53151 0.566869
NM_001144222.2 + 1.44632 2.6492
NM_001144248.2 + 0.666667 0.517475
NM_001144255.3 + 1.41958 0.703107
NM_001144258.2 + 3.61421 86.6347
NM_001144259.2 + 3.61421 21.109
NM_001144260.2 + 2.34416 6.92297
NM_001144272.3 + 75.0171 13.3969
NM_001144300.2 + 0.133087 0.11073
NM_001144310.1 + 0.111111 3.73757
NM_001144320.2 + 3.51696 22.5497
NM_001144334.4 + 40 0.0166755
NM_001144361.3 + 1.28756 16.148
NM_001144378.2 + 7.16859 13.9208
NM_001144404.2 + 0.0547018 0.463603
NM_001144405.3 + 6.62245 8.23171
NM_001144410.2 + 37.0499 3.07096
NM_001144421.2 + 2.19665 283.245
NM_001144423.2 + 12.7083 5.00334
NM_001144429.3 + 1.81596 0.253721
NM_001144454.3 + 0.319876 0.093415
NM_001144457.3 + 4.45734 1.43062
NM_001144458.2 + 2.68227 15.6083
NM_001144483.2 + 1.02346e-05 0.132304
NM_001144500.2 + 3.1075 13.6965
NM_001144516.2 + 2.51745 7.02523
NM_001144527.1 + 11.3281 0.288953
NM_001144529.2 + 0.624633 1.12217
NM_001144541.2 + 0.482603 34.3646
NM_001144551.2 + 4.56677 13.7505
NM_001144559.2 + 5.7285 40.0277
NM_001144568.2 + 0.648649 1.97654
NM_001144575.2 + 27.9124 0.670519
NM_001144576.2 + 3.20588 0.156383
NM_001144577.2 + 1629 0.0433319
NM_001144578.2 + 1629 1.38655
NM_001144579.2 + 1629 0.178418
NM_001144580.2 + 1629 2.30026
NM_001144591.3 + 45.5635 78.4227
NM_001144601.2 + 4.62376 72.0119
NM_001144603.2 + 6.30156 2.02953
NM_001144615.3 + 1.94356 9.41595
NM_001144624.1 + 0.568966 11.6463
NM_001144648.3 + 0.0313341 0.285584
NM_001144660.3 + 1.74769 56.3
NM_001144665.3 + 1.06723 1.39542
NM_001144685.2 + 0.000186136 1.04424
NM_001144700.3 + 2.78705 4.76279
NM_001169179.1 + 0.000871935 2.25992
NM_001169187.2 + 0.197037 10.6425
NM_001169192.2 + 77.5714 0.354304
NM_001169213.2 + 90.8292 2.30979
NM_001169226.2 + 52.6495 6.61556
NM_001169234.3 + 7.68293 0.643367
NM_001169240.2 + 70.3594 15.9941
NM_001169243.3 + 0.431348 52.3661
NM_001169253.2 + 0.234069 14.4218
NM_001169281.2 + 2.04477 3.59881
NM_001169286.2 + 1.72692 9.08212
NM_001169368.3 + 15.7776 150.83
NM_001169379.2 + 2 0.001514
NM_001169426.2 + 0.162591 2.82822
NM_001169430.3 + 2.41636 30.6067
NM_001169432.2 + 4.11675 2.7521
NM_001169451.2 + 14.5395 476.805
NM_001169458.2 + 5.39211 9.91352
NM_001169467.1 + 4.4898 9.13928
NM_001169468.3 + 2.17241 2.9638
NM_001169489.2 + 124.5 1.79706
NM_001169499.1 + 9.70703 21.9692
NM_001169503.2 + 0.562738 0.674375
NM_001169514.2 + 1.5 10.9116
NM_001169523.1 + 0.726106 1.53249
NM_001169551.2 + 0.4356 7.32231
NM_001169589.2 + 0.0128205 0.00332274
NM_001169596.3 + 0.131557 1.48193
NM_001169609.2 + 5.02762 9.13996
NM_001169643.2 + 0.132691 2.07906
NM_001169653.2 + 1.71429 0.0592287
NM_001169680.1 + 1.25 0.00104221
NM_001169709.2 + 0.505747 0.0536723
NM_001169712.2 + 0.829747 2.19268
NM_001169716.2 + 5.79964 3.69302
NM_001169770.2 + 2.09516 13.9531
NM_001169772.2 + 1.45953 3.99614
NM_001169773.2 + 0.65499 57.3544
NM_001169791.2 + 0.25 20.5829
NM_001169821.2 + 3.58368 4.57154
NM_001169826.3 + 2.40781 25.218
NM_001169831.3 + 5.32597 17.6567
NM_001169835.1 + 9.95556 10.895
NM_001169838.3 + 5.838 21.463
NM_001169843.2 + 1.59314 12.6446
NM_001169850.1 + 0.190476 0.0858336
NM_001169867.2 + 2.01252 3.05629
NM_001169921.2 + 4.28343 0.307797
NM_001169935.2 + 5.07764 1.48382
NM_001169971.2 + 1.83333 0.142685
NM_001169981.1 + 0.5 5.26923
NM_001169992.2 + 21.6073 76.7748
NM_001169993.2 + 138 1.06705
NM_001170011.1 + 10.4737 0.103877
NM_001170053.1 + 0.0261283 0.00634518
NM_001170079.1 + 3.15135 2.62691
NM_001170097.2 + 0.317327 0.192486
NM_001170130.2 + 2.26069 17.3231
NM_001170183.2 + 0.00639386 0.00341933
NM_001170194.2 + 1.04103 71.7898
NM_001170202.2 + 2.72436 3.26104
NM_001170214.2 + 0.10422 0.695172
NM_001170236.3 + 7.69253 0.603963
NM_001170241.3 + 0.0232558 20.621
NM_001170250.1 + 0.385457 2.3594
NM_001170258.3 + 1.02156 1.65612
NM_001170278.2 + 16.9607 86.1719
NM_001170374.1 + 1.57849 9.13319
NM_001170380.2 + 0.0680956 4.31421
NM_001170381.2 + 3.2991 3.23549
NM_001170385.2 + 4.26654 3.94097
NM_001170391.1 + 2.15493 0.0147605
NM_001201439.2 + 0.0285714 2.22039
NM_001201533.1 + 4.07214e-06 1.12619
NM_001201597.1 + 0.206316 0.105843
NM_001201737.2 + 0.415695 0.973603
NM_001201793.1 + 11.0247 1.16425
NM_001201812.2 + 4.2 0.00909334
